order_id,gender_category,product_line,product_name,size,units_sold,mrp,discount_applied,revenue,order_date,sales_channel,region,profit
2000,Kids,Training,SuperRep Go,M,2.0,6039.8633948635625,0.47,6402.255198555376,2024-03-09,Online,Bengaluru,-3865.51257271268
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,14873.79,2024-07-09,Retail,Hyd,2231.068500000001
2002,Women,Soccer,Premier III,M,4.0,6039.8633948635625,0.0,24159.45357945425,2024-10-12,Retail,Mumbai,3623.9180369181377
2003,Kids,Lifestyle,Blazer Mid,L,2.0,9673.57,0.0,19347.14,2024-04-10,Online,Pune,2902.071
2004,Kids,Running,React Infinity,XL,2.0,6039.8633948635625,0.0,12079.726789727123,2024-09-12,Retail,Delhi,1811.9590184590688
2005,Women,Training,Flex Trainer,M,1.0,7363.96,0.0,7363.96,2024-10-12,Retail,Delhi,1104.594
2006,Men,Training,SuperRep Go,M,2.0,6819.78,0.0,13639.56,2025-04-06,Online,Bangalore,2045.934000000001
2007,Kids,Training,SuperRep Go,M,1.0,6039.8633948635625,0.32,4107.107108507222,2024-10-12,Retail,Bangalore,-1026.7767771268063
2008,Women,Soccer,Premier III,11,-1.0,6039.8633948635625,0.0,0.0,2024-11-10,Online,Hyderabad,5133.883885634028
2009,Men,Soccer,Mercurial Superfly,M,4.0,6039.8633948635625,0.0,24159.45357945425,2024-10-12,Online,Pune,3623.9180369181377
2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,0.0,7949.83,2025-01-16,Online,Pune,1192.4745000000005
2011,Women,Training,Flex Trainer,L,-1.0,9586.08,0.0,0.0,2024-10-12,Retail,Hyd,6408.8596649999945
2018,Kids,Lifestyle,Blazer Mid,nan,-1.0,6039.8633948635625,0.86,0.0,2024-11-13,Online,Delhi,5133.883885634028
2013,Kids,Training,SuperRep Go,nan,2.0,9671.05,0.0,19342.1,2024-09-19,Online,Hyderbad,2901.3149999999987
2014,Women,Running,React Infinity,11,2.0,6039.8633948635625,0.0,12079.726789727123,2025-04-12,Online,Bangalore,1811.9590184590688
2015,Kids,Basketball,Air Jordan,nan,2.0,3285.52,0.0,6571.04,2025-05-31,Retail,Kolkata,985.656
2016,Women,Basketball,Air Jordan,M,1.0,9804.641399999999,0.3,6910.22,2024-10-12,Retail,Hyderbad,-1480.767499999999
2017,Women,Basketball,Air Jordan,9,4.0,6039.8633948635625,0.0,24159.45357945425,2025-03-17,Retail,Delhi,3623.9180369181377
2018,Men,Training,Metcon 7,XL,0.0,6039.8633948635625,1.17,0.0,2024-10-12,Online,Bengaluru,0.0
2019,Kids,Running,Air Zoom,6,0.0,3424.06,0.32,0.0,2025-01-17,Online,Hyderabad,0.0
2020,Kids,Soccer,Tiempo Legend,L,-1.0,6039.8633948635625,0.67,0.0,2025-03-28,Retail,Mumbai,5133.883885634028
2021,Men,Running,Free RN,L,-1.0,7086.7,0.66,-2409.48,2024-11-19,Retail,Hyd,3614.215
2022,Women,Soccer,Premier III,M,2.0,6039.8633948635625,0.0,12079.726789727123,2024-09-24,Online,Pune,1811.9590184590688
2023,Men,Lifestyle,Waffle One,M,2.0,5003.95,0.0,10007.9,2025-10-01,Online,Mumbai,1501.1849999999995
2024,Kids,Training,SuperRep Go,XL,0.0,6039.8633948635625,0.5,0.0,2024-12-28,Retail,Bangalore,0.0
2025,Women,Basketball,Kyrie Flytrap,M,3.0,9804.641399999999,0.0,29461.5,2024-10-12,Retail,Mumbai,4419.225000000002
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6039.8633948635625,0.16,5073.4852516853925,2024-08-10,Retail,Kolkata,-60.39863394863551
2027,Men,Basketball,Zoom Freak,XL,2.0,6039.8633948635625,0.22,9422.186895987155,2024-10-12,Online,Pune,-845.5808752808989
2028,Men,Training,Flex Trainer,12,2.0,3270.23,0.0,6540.46,2024-10-12,Retail,Delhi,981.0690000000004
2029,Men,Training,ZoomX Invincible,12,0.0,6039.8633948635625,0.0,0.0,2023-10-28,Online,Bangalore,0.0
2030,Men,Soccer,Phantom GT,XL,2.0,6039.8633948635625,1.05,-603.9863394863568,2025-07-14,Retail,Hyd,-10871.754110754411
2031,Men,Soccer,Premier III,nan,4.0,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,-9361.346
2032,Women,Lifestyle,Blazer Mid,XL,1.0,6039.8633948635625,1.07,-422.79043764044974,2025-11-04,Retail,Mumbai,-5556.6743232744775
2033,Men,Soccer,Mercurial Superfly,XL,-1.0,6039.8633948635625,0.0,0.0,2024-10-12,Retail,Kolkata,5133.883885634028
2034,Men,Basketball,Air Jordan,6,2.0,6235.71,0.0,12471.42,2025-04-30,Retail,Delhi,1870.713
2035,Kids,Basketball,Zoom Freak,nan,4.0,6039.8633948635625,0.38,14978.861219261637,2024-11-17,Online,Bangalore,-5556.6743232744775
2036,Men,Training,Metcon 7,nan,3.0,6039.8633948635625,0.0,18119.59018459069,2025-02-15,Retail,Bangalore,2717.938527688604
2037,Kids,Running,Pegasus Turbo,7,3.0,5653.14,1.01,-169.59,2024-10-12,Retail,Pune,-14585.097
2038,Kids,Running,Free RN,nan,0.0,6039.8633948635625,0.83,0.0,2024-10-12,Online,Delhi,0.0
2039,Women,Training,Flex Trainer,M,2.0,2767.7,0.63,2048.098,2025-04-22,Retail,Hyderbad,-2656.9919999999997
2002,Women,Basketball,Zoom Freak,XL,3.0,5075.22,0.0,15225.66,2025-07-03,Retail,Delhi,2283.849
2041,Kids,Soccer,Tiempo Legend,12,2.0,5553.88,0.0,11107.76,2025-03-05,Online,Hyd,1666.164000000001
2042,Women,Basketball,Kyrie Flytrap,L,2.0,6039.8633948635625,0.0,12079.726789727123,2025-04-19,Online,Hyderbad,1811.9590184590688
2043,Men,Soccer,Premier III,XL,2.0,3492.89,0.77,1606.7293999999995,2024-05-02,Retail,Delhi,-4331.1836
2044,Kids,Training,SuperRep Go,nan,2.0,6039.8633948635625,0.0,12079.726789727123,2023-09-06,Online,Delhi,1811.9590184590688
2045,Kids,Lifestyle,Dunk Low,XL,4.0,6039.8633948635625,0.0,24159.45357945425,2025-04-06,Retail,Delhi,3623.9180369181377
2046,Kids,Running,Air Zoom,12,2.0,6039.8633948635625,1.04,-483.1890715890854,2024-10-12,Online,Kolkata,-10750.956842857142
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.0,8577.75,2024-06-13,Retail,Bangalore,1286.6625000000004
2048,Women,Basketball,Air Jordan,XL,2.0,6039.8633948635625,0.0,12079.726789727123,2024-10-27,Online,Bangalore,1811.9590184590688
